State,Suburb,Reason for seeking support,lat,lon,Service Demand,Service Supply,Demand to Supply Ratio
TAS,EAST LAUNCESTON,HOUSING,-41.43898712142019,147.1500948995578,90,0,0
TAS,ELLIOTT,HOUSING,-41.10449130978622,145.7756025188345,9,0,0
TAS,FINGAL,DISABILITIES|HOUSING|SUPPORT & COUNSELLING,-41.66032030093409,147.9405770667454,1,5,0.2
TAS,FRANKLIN,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-43.0825341091375,146.98345487214272,2,0,0
TAS,GAGEBROOK,EMPLOYMENT|HEALTH|HOUSING|LAW,-42.74273402178536,147.2737552658227,0,1,0
TAS,GARDNERS BAY,HOUSING,-43.179884404515356,147.15040405487875,3,0,0
TAS,GEEVESTON,EMPLOYMENT|HEALTH|HOUSING|LAW,-43.153124566894235,146.866178987889,0,1,0
TAS,GEORGE TOWN,HOUSING|SUPPORT & COUNSELLING,-41.09100030315098,146.90083983734314,18,1,18
TAS,GLENORCHY,FOOD|HOUSING|LAW|SUPPORT & COUNSELLING,-42.84337924757642,147.2653595954112,37,8,4.625
TAS,GOODWOOD,DISABILITIES|HOUSING|SUPPORT & COUNSELLING,-42.8268460713875,147.29341191803871,0,3,0
TAS,GRASSY,HOUSING|SUPPORT & COUNSELLING,-40.04349768649601,144.06949935498628,1,0,0
TAS,GRAVELLY BEACH,HOUSING,-41.282673721415186,146.9632896995583,1,0,0
TAS,GRINDELWALD,HOUSING|SUPPORT & COUNSELLING,-41.35144884540129,147.00524070652438,1,0,0
TAS,HADSPEN,DISABILITIES|HOUSING,-41.51122655520502,147.06033290367188,4,0,0
TAS,HAMILTON,HOUSING,-42.54949350919021,146.85119873355802,1,0,0
TAS,HARFORD,HOUSING,-41.24608352325183,146.60948466943896,2,0,0
TAS,HASTINGS,HOUSING|SUPPORT & COUNSELLING,-43.400068912737396,146.88796435338512,2,0,0
TAS,HOBART,HOUSING|LAW,-42.88213732311093,147.32719522503098,94,51,1.8431372549019607
TAS,HOLWELL,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-41.2774908138763,146.7714578987835,1,0,0
TAS,HOWRAH,FAMILY VIOLENCE|HOUSING|LAW,-42.883801025666486,147.41057240210665,2,0,0
TAS,HUNTINGFIELD,HOUSING,-42.990387957384776,147.28814667900366,1,0,0
TAS,HUONVILLE,FAMILY VIOLENCE|HOUSING|LAW,-43.029516893159396,147.05802803949678,1,0,0
TAS,INVERMAY,FOOD|HOUSING|SUPPORT & COUNSELLING,-41.421293253235696,147.13296634085395,0,1,0
TAS,KELSO,HOUSING,-41.10272355719827,146.77477001657013,1,0,0
TAS,KETTERING,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-43.12784135243167,147.22939167524984,1,0,0
TAS,KINGS MEADOWS,HOUSING,-41.47053454570966,147.16134851997379,2,3,0.6666666666666666
TAS,KINGSTON,HOUSING|SUPPORT & COUNSELLING,-42.96335268820454,147.29270302853746,15,1,15
TAS,KINGSTON BEACH,FAMILY VIOLENCE|HOUSING|LAW,-42.98424346941368,147.3212590467285,2,0,0
TAS,LADY BARRON,HOUSING,-40.20979683777922,148.23639809518028,0,1,0
TAS,LAKE LEAKE,HOUSING,-42.02075682202499,147.84888472481515,1,0,0
TAS,LATROBE,HOUSING,-41.2305784,146.42021169999998,3,0,0
TAS,LAUNCESTON,HOUSING,-41.43321908962928,147.144086335431,43,28,1.5357142857142858
TAS,LENAH VALLEY,DISABILITIES|HOUSING|SUPPORT & COUNSELLING,-42.871101813051155,147.27415235775018,1,2,0.5
TAS,LEWISHAM,HOUSING,-42.82202955510831,147.60911816302558,1,0,0
TAS,LINDISFARNE,DISABILITIES|FOOD|HEALTH|HOUSING|SUPPORT & COUNSELLING,-42.84291246568399,147.36885304829494,7,8,0.875
TAS,LONGFORD,EMPLOYMENT|HEALTH|HOUSING|LAW,-41.60712692233925,147.12282102044875,2,1,2
TAS,LOWER BEULAH,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-41.46798368933694,146.4104654551381,1,0,0
TAS,LUTANA,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-42.83791821340957,147.31363905996764,3,0,0
TAS,MIDWAY POINT,HOUSING,-42.794134795622135,147.5294239834678,2,0,0
TAS,MONTELLO,HOUSING,-41.0597309,145.8937224,3,0,0
TAS,MONTROSE,FAMILY VIOLENCE|HOUSING|LAW,-42.830044957892156,147.24947500042126,3,0,0
TAS,MOONAH,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH|SUPPORT & COUNSELLING,-42.84544140575754,147.29559116109246,3,6,0.5
TAS,MORNINGTON,HOUSING|SUPPORT & COUNSELLING,-42.861334312497654,147.3992469281769,2,0,0
TAS,MOUNT STUART,HOUSING,-42.87220010542038,147.30228425051965,163,0,0
TAS,MOWBRAY,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH|SUPPORT & COUNSELLING,-41.402616069607966,147.15049466392682,25,2,12.5
TAS,NABAGEENA,DISABILITIES|FAMILY VIOLENCE|HEALTH|HOUSING|LAW|MENTAL HEALTH,-40.996098417469355,145.1326119692132,3,0,0
TAS,NELSON BAY,HOUSING,-41.13364051059182,144.70029843466344,5,0,0
TAS,NEW NORFOLK,DISABILITIES|HOUSING,-42.78269923903109,147.05962990945778,2,0,0
TAS,NEW TOWN,ALCOHOL & OTHER DRUGS|HEALTH|HOUSING,-42.85620408014267,147.30877884967583,12,6,2
TAS,NEWNHAM,DISABILITIES|HEALTH|HOUSING,-41.38870834016511,147.1169651091334,1,3,0.3333333333333333
TAS,NEWSTEAD,DISABILITIES|HOUSING,-41.44268733477277,147.16265387276246,0,11,0
TAS,NORTH HOBART,FAMILY VIOLENCE|HOUSING|LAW|SUPPORT & COUNSELLING,-42.871730017030146,147.31691436202263,1,8,0.125
TAS,NORWOOD,DISABILITIES|FOOD|HEALTH|HOUSING|SUPPORT & COUNSELLING,-41.459421675831145,147.18059900658912,0,8,0
TAS,NUBEENA,HEALTH|HOUSING,-43.088901151119835,147.71962258822782,0,1,0
TAS,OATLANDS,HEALTH|HOUSING,-42.286806997009094,147.32437815332685,2,2,1
TAS,OPOSSUM BAY,HOUSING,-42.989658457580646,147.40733514580097,1,0,0
TAS,OUSE,DISABILITIES|FAMILY VIOLENCE|HEALTH|HOUSING|LAW|MENTAL HEALTH|SUPPORT & COUNSELLING,-42.43861467623316,146.6823569045993,0,1,0
TAS,PARKLANDS,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-41.047526972277964,145.89202362246994,42,0,0
TAS,PENGUIN,HOUSING,-41.1126978975375,146.06341905841884,2,0,0
TAS,PERTH,DISABILITIES|HEALTH|HOUSING,-41.608515138889246,147.20762532148524,44,2,22
TAS,POATINA,HOUSING,-41.8023494771601,146.92843123297823,3,0,0
TAS,PORT ARTHUR,FAMILY VIOLENCE|HOUSING|LAW,-43.14642204540905,147.83551075503416,4,0,0
TAS,PORT LATTA,HOUSING,-40.85816985188703,145.38520075208262,2,0,0
TAS,PRESERVATION BAY,HOUSING|LAW,-41.1028765632217,146.04653381689027,1,0,0
TAS,PRIMROSE SANDS,HOUSING,-42.8982069,147.6776327,2,0,0
TAS,PROSPECT,FOOD|HOUSING|SUPPORT & COUNSELLING,-41.48438762049653,147.14245546128996,0,1,0
TAS,PUNCHBOWL,HOUSING,-41.45756825961093,147.16469997975025,5,0,0
TAS,PYENGANA,HOUSING,-41.30005760647866,147.9497340496521,4,0,0
TAS,QUEENSTOWN,FAMILY VIOLENCE|HOUSING|LAW|SUPPORT & COUNSELLING,-42.085350637026075,145.54392314322504,6,1,6
TAS,RAVENSWOOD,HOUSING,-41.416136395507685,147.18232567816378,5,0,0
TAS,REDPA,HOUSING,-40.96794608567099,144.77823128254727,1,0,0
TAS,RIANA,HOUSING,-41.20606032874392,145.99212200628241,2,0,0
TAS,RICHMOND,HOUSING,-42.73802561507409,147.41430012084697,42,0,0
TAS,RISDON,HOUSING,-42.797024603479606,147.3290955284884,0,1,0
TAS,RISDON VALE,HOUSING,-42.80818841839457,147.37022654707337,5,0,0
TAS,RIVERSIDE,HOUSING,-41.422958695587326,147.04840577440567,1,0,0
TAS,ROCHERLEA,DISABILITIES|HOUSING|SUPPORT & COUNSELLING,-41.37357831078556,147.1641488140735,1,1,1
TAS,ROKEBY,HOUSING,-42.895652197584845,147.43647669144013,16,4,4
TAS,ROSEBERY,HOUSING|SUPPORT & COUNSELLING,-41.79376912656181,145.5297139352093,11,0,0
TAS,ROSNY,DISABILITIES|HOUSING|MENTAL HEALTH,-42.870721022486,147.35700145971208,40,3,13.333333333333334
TAS,ROSNY PARK,ALCOHOL & OTHER DRUGS|HEALTH|HOUSING|LAW|SUPPORT & COUNSELLING,-42.86601873656523,147.36761526343108,2,2,1
TAS,SANDFORD,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-42.96899249261317,147.4907031416951,1,0,0
TAS,SANDY BAY,HOUSING,-42.91210987981064,147.3408397172405,5,1,5
TAS,SCOTTSDALE,FAMILY VIOLENCE|HOUSING|LAW|SUPPORT & COUNSELLING,-41.170778509035735,147.52049793815638,3,1,3
TAS,SEVEN MILE BEACH,DISABILITIES|HOUSING,-42.84073948737385,147.54264905044235,1,1,1
TAS,SMITHTON,HOUSING,-40.84451175019349,145.1403851081982,0,2,0
TAS,SOMERSET,HOUSING,-41.0553468488524,145.80076189860407,3,0,0
TAS,SORELL,HOUSING,-42.77889391211915,147.57807716184266,5,0,0
TAS,SOUTH BURNIE,HOUSING|SUPPORT & COUNSELLING,-41.06643620528071,145.91384902553315,1,7,0.14285714285714285
TAS,SOUTH HOBART,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH|SUPPORT & COUNSELLING,-42.89788559375738,147.28564333872205,11,2,5.5
TAS,SOUTH LAUNCESTON,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH|SUPPORT & COUNSELLING,-41.45573341185242,147.14711052522256,0,2,0
TAS,SPRENT,HOUSING,-41.28335116122421,146.16568520766913,14,0,0
TAS,ST HELENS,HOUSING|SUPPORT & COUNSELLING,-41.326308538519534,148.20024254354695,1,3,0.3333333333333333
TAS,ST MARYS,HOUSING|SUPPORT & COUNSELLING,-41.586984650901535,148.15582408666484,6,0,0
TAS,STORMLEA,DISABILITIES|HOUSING,-43.18539330529265,147.7771971205697,1,0,0
TAS,STRATHGORDON,HOUSING,-42.76715116764429,146.05071580981374,1,0,0
TAS,SWANSEA,DISABILITIES|FOOD|HEALTH|HOUSING|MENTAL HEALTH|SUPPORT & COUNSELLING,-42.10093522310667,148.0136797745135,0,5,0
TAS,TAROONA,HOUSING,-42.94466508905161,147.3438662157893,1,0,0
TAS,TONGANAH,HOUSING,-41.17511969716486,147.6059186859999,9,0,0
TAS,TOOMS LAKE,HOUSING,-42.19625706247372,147.82361083793236,1,0,0
TAS,TREVALLYN,HOUSING,-41.44260597877307,147.10481222890505,2,0,0
TAS,ULVERSTONE,HOUSING,-41.170207946008325,146.1872006773164,8,3,2.6666666666666665
TAS,VICTORIA VALLEY,HOUSING,-42.25577153540808,146.70872762430193,12,0,0
TAS,WALLS OF JERUSALEM,HOUSING,-41.90160571708022,146.25261000811062,4,0,0
TAS,WARATAH,HOUSING,-41.46008957188909,145.49984443293323,1,0,0
TAS,WATERHOUSE,HOUSING,-40.9686,147.6331,1,0,0
TAS,WESLEY VALE,HOUSING|SUPPORT & COUNSELLING,-41.1899408117639,146.4421620403562,3,0,0
TAS,WEST HOBART,HOUSING,-42.8744692,147.31004009999998,6,0,0
TAS,WEST MOONAH,FOOD|HEALTH|HOUSING|LAW|SUPPORT & COUNSELLING,-42.84961870113111,147.28137648640538,2,1,2
TAS,WESTBURY,HOUSING,-41.51019925773245,146.8207106478541,4,0,0
TAS,WILBURVILLE,HOUSING|SUPPORT & COUNSELLING,-42.045994136644964,146.89608284450185,38,0,0
TAS,WILMOT,HOUSING,-41.388381911919566,146.1661596282516,2,0,0
TAS,WIVENHOE,FOOD|HOUSING|SUPPORT & COUNSELLING,-41.07232843722443,145.93050404926097,0,1,0
TAS,WYNYARD,HOUSING,-41.009476428220445,145.7189939438803,4,0,0
TAS,ZEEHAN,HOUSING,-41.8904574591029,145.3485376228707,1,0,0
